Experiment,Location,TrapID,Replicate,Treatment,StartDate,EndDate,Count
y19_now_monitoring_expt1,vista_verde,56,5,DeltaPpo,5/17/2019,5/23/2019,0
y19_now_monitoring_expt1,vista_verde,57,5,WingPhero,5/17/2019,5/23/2019,2
y19_now_monitoring_expt1,vista_verde,61,6,ModPpo,5/17/2019,5/23/2019,0
y19_now_monitoring_expt1,vista_verde,62,6,DeltaCombo,5/17/2019,5/23/2019,2
y19_now_monitoring_expt1,vista_verde,63,6,ModCombo,5/17/2019,5/23/2019,1
y19_now_monitoring_expt1,vista_verde,64,6,WingCombo,5/17/2019,5/23/2019,2
y19_now_monitoring_expt1,vista_verde,65,6,WingPpo,5/17/2019,5/23/2019,1
y19_now_monitoring_expt1,vista_verde,66,6,WingPhero,5/17/2019,5/23/2019,0
y19_now_monitoring_expt1,vista_verde,67,6,DeltaPpo,5/17/2019,5/23/2019,0
y19_now_monitoring_expt1,vista_verde,71,7,ModPpo,5/17/2019,5/23/2019,0
y19_now_monitoring_expt1,vista_verde,72,7,ModCombo,5/17/2019,5/23/2019,0
y19_now_monitoring_expt1,vista_verde,73,7,WingPhero,5/17/2019,5/23/2019,2
y19_now_monitoring_expt1,vista_verde,74,7,DeltaPpo,5/17/2019,5/23/2019,1
y19_now_monitoring_expt1,vista_verde,75,7,WingPpo,5/17/2019,5/23/2019,1
y19_now_monitoring_expt1,vista_verde,76,7,DeltaCombo,5/17/2019,5/23/2019,0
y19_now_monitoring_expt1,vista_verde,77,7,WingCombo,5/17/2019,5/23/2019,2
y19_now_monitoring_expt1,vista_verde,81,8,DeltaCombo,5/17/2019,5/23/2019,0
y19_now_monitoring_expt1,vista_verde,82,8,WingPpo,5/17/2019,5/23/2019,0
y19_now_monitoring_expt1,vista_verde,83,8,DeltaPpo,5/17/2019,5/23/2019,1
y19_now_monitoring_expt1,vista_verde,84,8,ModCombo,5/17/2019,5/23/2019,3
y19_now_monitoring_expt1,vista_verde,85,8,WingCombo,5/17/2019,5/23/2019,1
y19_now_monitoring_expt1,vista_verde,86,8,WingPhero,5/17/2019,5/23/2019,1
y19_now_monitoring_expt1,vista_verde,87,8,ModPpo,5/17/2019,5/23/2019,0
y19_now_monitoring_expt1,vista_verde,11,1,ModCombo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,12,1,WingPhero,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,13,1,WingPpo,5/23/2019,5/28/2019,2
y19_now_monitoring_expt1,vista_verde,14,1,WingCombo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,15,1,DeltaPpo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,16,1,ModPpo,5/23/2019,5/28/2019,2
y19_now_monitoring_expt1,vista_verde,17,1,DeltaCombo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,21,2,WingPpo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,22,2,WingPhero,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,23,2,ModCombo,5/23/2019,5/28/2019,3
y19_now_monitoring_expt1,vista_verde,24,2,DeltaPpo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,25,2,WingCombo,5/23/2019,5/28/2019,7
y19_now_monitoring_expt1,vista_verde,26,2,ModPpo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,27,2,DeltaCombo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,31,3,WingPpo,5/23/2019,5/28/2019,3
y19_now_monitoring_expt1,vista_verde,32,3,ModCombo,5/23/2019,5/28/2019,2
y19_now_monitoring_expt1,vista_verde,33,3,DeltaPpo,5/23/2019,5/28/2019,
y19_now_monitoring_expt1,vista_verde,34,3,DeltaCombo,5/23/2019,5/28/2019,4
y19_now_monitoring_expt1,vista_verde,35,3,WingCombo,5/23/2019,5/28/2019,5
y19_now_monitoring_expt1,vista_verde,36,3,ModPpo,5/23/2019,5/28/2019,2
y19_now_monitoring_expt1,vista_verde,37,3,WingPhero,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,41,4,DeltaCombo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,42,4,WingPhero,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,43,4,WingPpo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,44,4,DeltaPpo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,45,4,ModPpo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,46,4,WingCombo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,47,4,ModCombo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,51,5,WingPpo,5/23/2019,5/28/2019,3
y19_now_monitoring_expt1,vista_verde,52,5,ModPpo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,53,5,DeltaCombo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,54,5,ModCombo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,55,5,WingCombo,5/23/2019,5/28/2019,2
y19_now_monitoring_expt1,vista_verde,56,5,DeltaPpo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,57,5,WingPhero,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,61,6,ModPpo,5/23/2019,5/28/2019,2
y19_now_monitoring_expt1,vista_verde,62,6,DeltaCombo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,63,6,ModCombo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,64,6,WingCombo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,65,6,WingPpo,5/23/2019,5/28/2019,2
y19_now_monitoring_expt1,vista_verde,66,6,WingPhero,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,67,6,DeltaPpo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,71,7,ModPpo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,72,7,ModCombo,5/23/2019,5/28/2019,2
y19_now_monitoring_expt1,vista_verde,73,7,WingPhero,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,74,7,DeltaPpo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,75,7,WingPpo,5/23/2019,5/28/2019,3
y19_now_monitoring_expt1,vista_verde,76,7,DeltaCombo,5/23/2019,5/28/2019,2
y19_now_monitoring_expt1,vista_verde,77,7,WingCombo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,81,8,DeltaCombo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,82,8,WingPpo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,83,8,DeltaPpo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,84,8,ModCombo,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,85,8,WingCombo,5/23/2019,5/28/2019,6
y19_now_monitoring_expt1,vista_verde,86,8,WingPhero,5/23/2019,5/28/2019,0
y19_now_monitoring_expt1,vista_verde,87,8,ModPpo,5/23/2019,5/28/2019,1
y19_now_monitoring_expt1,vista_verde,11,1,ModCombo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,12,1,WingPhero,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,13,1,WingPpo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,14,1,WingCombo,5/28/2019,6/4/2019,3
y19_now_monitoring_expt1,vista_verde,15,1,DeltaPpo,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,16,1,ModPpo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,17,1,DeltaCombo,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,21,2,WingPpo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,22,2,WingPhero,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,23,2,ModCombo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,24,2,DeltaPpo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,25,2,WingCombo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,26,2,ModPpo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,27,2,DeltaCombo,5/28/2019,6/4/2019,3
y19_now_monitoring_expt1,vista_verde,31,3,WingPpo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,32,3,ModCombo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,33,3,DeltaPpo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,34,3,DeltaCombo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,35,3,WingCombo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,36,3,ModPpo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,37,3,WingPhero,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,41,4,DeltaCombo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,42,4,WingPhero,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,43,4,WingPpo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,44,4,DeltaPpo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,45,4,ModPpo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,46,4,WingCombo,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,47,4,ModCombo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,51,5,WingPpo,5/28/2019,6/4/2019,3
y19_now_monitoring_expt1,vista_verde,52,5,ModPpo,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,53,5,DeltaCombo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,54,5,ModCombo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,55,5,WingCombo,5/28/2019,6/4/2019,4
y19_now_monitoring_expt1,vista_verde,56,5,DeltaPpo,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,57,5,WingPhero,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,61,6,ModPpo,5/28/2019,6/4/2019,4
y19_now_monitoring_expt1,vista_verde,62,6,DeltaCombo,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,63,6,ModCombo,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,64,6,WingCombo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,65,6,WingPpo,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,66,6,WingPhero,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,67,6,DeltaPpo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,71,7,ModPpo,5/28/2019,6/4/2019,4
y19_now_monitoring_expt1,vista_verde,72,7,ModCombo,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,73,7,WingPhero,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,74,7,DeltaPpo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,75,7,WingPpo,5/28/2019,6/4/2019,3
y19_now_monitoring_expt1,vista_verde,76,7,DeltaCombo,5/28/2019,6/4/2019,2
y19_now_monitoring_expt1,vista_verde,77,7,WingCombo,5/28/2019,6/4/2019,4
y19_now_monitoring_expt1,vista_verde,81,8,DeltaCombo,5/28/2019,6/4/2019,3
y19_now_monitoring_expt1,vista_verde,82,8,WingPpo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,83,8,DeltaPpo,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,84,8,ModCombo,5/28/2019,6/4/2019,1
y19_now_monitoring_expt1,vista_verde,85,8,WingCombo,5/28/2019,6/4/2019,5
y19_now_monitoring_expt1,vista_verde,86,8,WingPhero,5/28/2019,6/4/2019,0
y19_now_monitoring_expt1,vista_verde,87,8,ModPpo,5/28/2019,6/4/2019,0
